"MARKA","TSB_MODEL","SIFIR_MODEL","KAYNAK","MASTER_MODEL_ADI"
"BMW","520i","","TSB",""
"BMW","520Li","","TSB",""
"BMW","525d","","TSB",""
"BMW","528i","","TSB",""
"BMW","530","","TSB",""
"BMW","530d","","TSB",""
"BMW","530e","","TSB",""
"BMW","530i","","TSB",""
"BMW","535d","","TSB",""
"BMW","535i","","TSB",""
"BMW","540d","","TSB",""
"BMW","540i","","TSB",""
"BMW","550e","","TSB",""
"BMW","550i","","TSB",""
"BMW","620d","","TSB",""
"BMW","630i","","TSB",""
"BMW","640d","","TSB",""
"BMW","640i","","TSB",""
"BMW","650i","","TSB",""
"BMW","","7 Serisi","HER İKİSİ",""
"BMW","725d","","TSB",""
"BMW","725Ld","","TSB",""
"BMW","730","","TSB",""
"BMW","730d","","TSB",""
"BMW","730i","","TSB",""
"BMW","730Ld","","TSB",""
"BMW","730Ld LCI","","TSB",""
"BMW","730Li","","TSB",""
"BMW","740","","TSB",""
"BMW","740d","","TSB",""
"BMW","740e iPERFORMANCE","","TSB",""
"BMW","740E IPERFORMANCE2.0 (326)","","TSB",""
"BMW","740IA","","TSB",""
"BMW","740Ld","","TSB",""
"BMW","740LE","","TSB",""
"BMW","740Le XDRIVEiPERFOIRMANCE","","TSB",""
"BMW","740Li","","TSB",""
"BMW","745Le","","TSB",""
"BMW","750","","TSB",""
"BMW","750d","","TSB",""
"BMW","750i","","TSB",""
"BMW","750IA","","TSB",""
"BMW","750Ld","","TSB",""
"BMW","750Li","","TSB",""
"BMW","760","","TSB",""
"BMW","760iA","","TSB",""
"BMW","840d","","TSB",""
"BMW","840i","","TSB",""
"BMW","ALPINA B3","","TSB",""
"BMW","ALPINA B4","","TSB",""
"BMW","ALPINA B8","","TSB",""
"BMW","ALPINA D3 BITURBO","","TSB",""
"BMW","ALPINE B3 TOURING","","TSB",""
"BMW","i3","","TSB",""
"BMW","i3 (120 Ah)","","TSB",""
"BMW","i3 (170)","","TSB",""
"BMW","i3 94AH","","TSB",""
"BMW","i3 94AH PURE","","TSB",""
"BMW","i3 LODGE (170)","","TSB",""
"BMW","i3 LOFT (170)","","TSB",""
"BMW","i3 PURE","","TSB",""
"BMW","i3 SUITE (170)","","TSB",""
"BMW","i3s (120 Ah)","","TSB",""
"BMW","i3s (184)","","TSB",""
"BMW","i3s LODGE (184)","","TSB",""
