marka_kodu,tip_kodu,arac_yili,kasko_degeri,veri_yili,veri_ay
9,1039,2012,1775975,2026,6
9,1040,2013,1906603,2026,6
9,1040,2012,1849406,2026,6
9,1041,2016,2198981,2026,6
9,1041,2015,2133012,2026,6
9,1041,2014,2069020,2026,6
9,1041,2013,2006951,2026,6
9,1041,2012,1946742,2026,6
9,1042,2016,3699410,2026,6
9,1042,2015,3588429,2026,6
9,1042,2014,3480775,2026,6
9,1042,2013,3376352,2026,6
9,1042,2012,3275061,2026,6
9,1043,2016,4686026,2026,6
9,1043,2015,4545445,2026,6
9,1043,2014,4409082,2026,6
9,1043,2013,4276809,2026,6
9,1043,2012,4148506,2026,6
9,1044,2016,4847654,2026,6
9,1044,2015,4702225,2026,6
9,1044,2014,4561157,2026,6
9,1044,2013,4424322,2026,6
9,1044,2012,4291593,2026,6
9,1045,2016,5479208,2026,6
9,1045,2015,5314830,2026,6
9,1045,2014,5155386,2026,6
9,1045,2013,5000724,2026,6
9,1045,2012,4850702,2026,6
9,1046,2017,9341211,2026,6
9,1046,2016,7559385,2026,6
9,1046,2015,7332604,2026,6
9,1046,2014,7112626,2026,6
9,1046,2013,6899247,2026,6
9,1046,2012,6692270,2026,6
9,1047,2016,1107551,2026,6
9,1047,2015,1074324,2026,6
9,1047,2014,1042096,2026,6
9,1047,2013,1010832,2026,6
9,1047,2012,980507,2026,6
9,1048,2016,1191890,2026,6
9,1048,2015,1156134,2026,6
9,1048,2014,1121449,2026,6
9,1048,2013,1087806,2026,6
9,1048,2012,1055171,2026,6
9,1049,2016,1191890,2026,6
9,1049,2015,1156134,2026,6
9,1049,2014,1121449,2026,6
9,1049,2013,1087806,2026,6
9,1049,2012,1055171,2026,6
9,1050,2016,1301074,2026,6
9,1050,2015,1262043,2026,6
9,1050,2014,1224182,2026,6
9,1050,2013,1187456,2026,6
9,1050,2012,1151833,2026,6
9,1051,2016,1385234,2026,6
9,1051,2015,1343677,2026,6
9,1051,2014,1303367,2026,6
9,1051,2013,1264265,2026,6
9,1051,2012,1226338,2026,6
9,1052,2016,1385387,2026,6
9,1052,2015,1343826,2026,6
9,1052,2014,1303510,2026,6
9,1052,2013,1264405,2026,6
9,1052,2012,1226474,2026,6
9,1053,2016,5032140,2026,6
9,1053,2015,4881176,2026,6
9,1053,2014,4734740,2026,6
9,1053,2013,4592698,2026,6
9,1053,2012,4454918,2026,6
9,1054,2016,2318024,2026,6
9,1054,2015,2248482,2026,6
9,1054,2014,2181028,2026,6
9,1054,2013,2115597,2026,6
9,1054,2012,2052129,2026,6
9,1055,2016,3881650,2026,6
9,1055,2015,3765201,2026,6
9,1055,2014,3652245,2026,6
9,1055,2013,3542677,2026,6
9,1055,2012,3436397,2026,6
9,1056,2016,2575581,2026,6
9,1056,2015,2498313,2026,6
9,1056,2014,2423364,2026,6
9,1056,2013,2350663,2026,6
9,1056,2012,2280142,2026,6
9,1057,2015,1025889,2026,6
9,1057,2014,995112,2026,6
9,1057,2013,965259,2026,6
